order_datetime;origin_longitude;origin_latitude;m_order_eta;order_gk;order_status_key;is_driver_assigned_key;cancellations_time_in_seconds
18:08:07;-0.978916;51456173;60.0;3000580000000;4;1;198.0
20:57:32;-0.950385;51456843;;3000580000000;4;0;128.0
12:07:50;-0.969520;51455544;477.0;3000580000000;4;1;46.0
13:50:20;-1054671;51460544;658.0;3000580000000;4;1;62.0
21:24:45;-0.967605;51458236;;3000580000000;9;0;
21:21:23;-0.947011;51456380;;3000580000000;9;0;
07:58:15;-0.955637;51470372;;3000580000000;9;0;
07:53:46;-0.978230;51454575;;3000580000000;9;0;
08:53:01;-1052298;51454308;;3000580000000;9;0;
06:33:52;-0.976216;51433202;;3000580000000;4;0;78.0
15:40:15;-0.934670;51447065;;3000580000000;4;0;167.0
20:59:35;-0.972735;51452489;;3000580000000;4;0;45.0
06:25:31;-0.958791;51459481;;3000580000000;4;0;79.0
16:55:28;-0.950683;51451368;538.0;3000580000000;4;1;188.0
00:59:26;-0.937006;51448696;179.0;3000580000000;4;1;316.0
00:04:16;-0.974519;51454603;;3000580000000;9;0;
08:49:32;-1011756;51456498;;3000580000000;9;0;
08:18:52;-0.940321;51421571;;3000580000000;4;0;183.0
08:24:56;-0.966304;51448351;;3000580000000;4;0;120.0
08:49:02;-0.963172;51454195;;3000580000000;9;0;
13:21:15;-0.978916;51456173;60.0;3000580000000;4;1;475.0
12:57:52;-0.933755;51446834;117.0;3000580000000;4;1;41.0
08:37:53;-0.972037;51456781;898.0;3000580000000;4;1;101.0
07:17:19;-0.971389;51449270;;3000580000000;4;0;93.0
14:08:23;-0.973763;51458671;;3000630000000;4;0;117.0
17:48:41;-0.968298;51466217;;3000630000000;4;0;70.0
08:59:15;-0.974281;51475314;958.0;3000630000000;4;1;121.0
22:59:25;-0.956267;51443196;237.0;3000630000000;4;1;156.0
22:41:17;-0.963063;51449616;178.0;3000630000000;4;1;527.0
17:07:30;-0.962999;51450598;;3000630000000;9;0;
18:59:28;-0.989163;51484478;;3000630000000;9;0;
08:41:43;-0.957923;51441124;;3000630000000;9;0;
08:45:25;-0.966842;51472315;;3000630000000;9;0;
01:23:42;-0.944732;51443863;478.0;3000630000000;4;1;65.0
19:14:07;-0.942750;51455270;;3000630000000;4;0;148.0
15:34:57;-0.955174;51435582;;3000630000000;4;0;7.0
07:35:36;-0.958791;51459481;;3000630000000;4;0;104.0
20:30:04;-0.971564;51458022;60.0;3000630000000;4;1;27.0
08:44:03;-0.974281;51475314;;3000630000000;9;0;
22:57:37;-0.957854;51449262;;3000630000000;4;0;15.0
18:07:48;-0.962753;51450808;;3000630000000;4;0;121.0
17:45:10;-0.975043;51456599;958.0;3000630000000;4;1;123.0
08:03:03;-0.982094;51449709;418.0;3000630000000;4;1;171.0
22:58:16;-0.957854;51449262;;3000630000000;4;0;54.0
03:10:22;-0.933906;51446975;;3000630000000;4;0;91.0
03:41:55;-0.932414;51447308;178.0;3000630000000;4;1;22.0
08:56:44;-0.974281;51475314;;3000630000000;4;0;145.0
14:23:22;-1061134;51441809;;3000630000000;4;0;106.0
16:48:18;-0.953481;51416397;;3000630000000;9;0;
21:02:29;-0.986542;51420305;;3000630000000;4;0;331.0
00:51:19;-0.932414;51447308;532.0;3000630000000;4;1;30.0
14:40:45;-0.982604;51471714;237.0;3000630000000;4;1;418.0
17:08:34;-0.970932;51457899;;3000630000000;4;0;107.0
17:29:12;-0.991947;51421997;;3000630000000;4;0;43.0
03:46:22;-0.932414;51447308;;3000630000000;4;0;77.0
12:20:25;-0.984941;51425929;477.0;3000630000000;4;1;46.0
18:04:34;-0.972893;51456873;238.0;3000630000000;4;1;593.0
20:16:26;-0.969962;51434487;;3000630000000;4;0;249.0
19:16:56;-0.942731;51455331;;3000630000000;4;0;120.0
14:02:18;-1049098;51482327;;3000630000000;4;0;31.0
18:10:53;-0.962746;51450836;;3000630000000;4;0;44.0
14:07:16;-0.974003;51458636;358.0;3000630000000;4;1;59.0
17:12:18;-0.963187;51450644;;3000630000000;4;0;15.0
08:13:01;-0.989201;51472551;;3000630000000;4;0;318.0
19:17:46;-1010571;51462461;;3000630000000;9;0;
08:56:51;-0.966842;51472315;;3000630000000;9;0;
08:32:37;-0.938129;51422154;475.0;3000630000000;4;1;13.0
08:33:57;-0.939241;51448670;;3000630000000;4;0;79.0
21:49:08;-0.978128;51454907;60.0;3000630000000;4;1;7.0
15:12:51;-0.971462;51446408;;3000630000000;4;0;59.0
21:43:28;-0.978128;51454907;60.0;3000630000000;4;1;327.0
08:52:23;-0.974281;51475314;;3000630000000;9;0;
23:58:55;-0.957070;51442723;658.0;3000630000000;4;1;836.0
07:59:06;-0.990123;51454477;;3000630000000;4;0;117.0
18:55:00;-0.961141;51439149;;3000630000000;4;0;459.0
15:33:45;-0.955174;51435582;658.0;3000630000000;4;1;60.0
17:15:07;-1007197;51469229;;3000630000000;4;0;38.0
19:56:11;-0.971275;51468651;238.0;3000630000000;4;1;27.0
18:29:41;-0.954902;51441276;597.0;3000630000000;4;1;63.0
17:16:02;-1007246;51469175;;3000630000000;4;0;55.0
08:41:40;-0.977197;51431071;;3000620000000;4;0;206.0
07:55:16;-0.993000;51446611;;3000620000000;9;0;
08:19:58;-0.986307;51446031;;3000620000000;9;0;
09:20:34;-0.985077;51445550;;3000620000000;4;0;20.0
14:36:47;-0.959643;51445283;;3000620000000;9;0;
22:13:50;-0.956998;51449458;;3000620000000;4;0;28.0
08:26:32;-1047778;51446982;;3000620000000;9;0;
07:49:59;-0.992317;51441893;960.0;3000620000000;4;1;114.0
15:50:26;-0.966518;51454786;;3000620000000;4;0;148.0
08:39:46;-0.976824;51432391;;3000620000000;4;0;84.0
21:43:25;-0.964731;51444658;;3000620000000;9;0;
15:39:21;-0.957362;51442630;;3000620000000;4;0;106.0
08:04:57;-0.958841;51459744;;3000620000000;9;0;
17:28:43;-0.960105;51453792;;3000620000000;9;0;
19:01:54;-0.970158;51455166;;3000620000000;4;0;191.0
02:28:10;-0.971735;51456830;;3000620000000;4;0;39.0
08:52:30;-0.973250;51461318;;3000620000000;4;0;67.0
17:20:37;-0.974382;51435840;;3000620000000;4;0;71.0
21:42:59;-0.960989;51456377;;3000620000000;9;0;
09:10:55;-0.972893;51456873;;3000620000000;4;0;21.0
09:19:54;-0.984726;51445691;;3000620000000;4;0;9.0
08:34:23;-0.994867;51458658;;3000620000000;9;0;
20:28:53;-0.975358;51455172;;3000620000000;4;0;8.0
08:42:48;-0.976850;51432336;;3000620000000;4;0;179.0
08:19:25;-0.944287;51429973;;3000620000000;4;0;10.0
09:08:33;-0.999031;51447941;;3000620000000;4;0;232.0
17:40:49;-0.972400;51456020;;3000620000000;4;0;46.0
23:43:48;-1019963;51444398;;3000620000000;4;0;27.0
23:20:21;-0.946531;51454771;;3000620000000;4;0;19.0
08:42:16;-0.989201;51472551;;3000620000000;9;0;
08:23:58;-0.968207;51446520;;3000620000000;9;0;
09:06:30;-0.974735;51454823;537.0;3000620000000;4;1;189.0
08:24:05;-0.986307;51446031;;3000620000000;9;0;
